@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
军团长	n:2,
军国主义	n:46,
军国主义者	n:8,
军地	n:2,j:2,
军垦	n:8,j:1,
军士	n:8,
军士长	n:1,
军备	n:22,
军大衣	n:2,
军委	n:1,j:88,
军委会	j:1,
军委军战史编辑室	nt:1,
军委办公厅	nt:6,
军委工业局	nt:1,
军委总政	j:1,
军委总政治部	nt:1,
军委总部	nt:2,
军委教导师	nt:1,
军委法制局	nt:1,
军委空军后勤部油料处	nt:1,
军委纪委	nt:2,
军姿	n:1,
军威	n:5,
军嫂	n:78,
军官	n:79,
军官法	n:2,
军官证	n:1,
军容	n:6,
军容镜	n:1,
军属	n:34,j:1,
军屯村	ns:2,
军工	n:37,j:3,
军工学院	nt:2,
军工部	n:1,
军师职	j:3,
军帐	n:1,
军帽	n:3,
军徽	n:1,
军心	n:13,
军情	n:7,
军战史	n:3,
军挎	n:1,
军控	v:4,j:1,vn:8,
军援	j:1,
军政	n:51,j:1,
军政府	n:31,
军政权	n:2,
军方	n:62,
军旅	n:43,
军旅杯	nz:1,
军旗	n:25,
军昌云新	nr:1,
军服	n:4,
军机	n:1,
军权	n:1,
军校	n:41,
军械	n:5,
军棋	n:1,
军歌	n:10,
军歌声	n:1,
军民	n:130,
军民共建	l:27,
军民共建点	n:2,
军民品	n:1,
军民航	j:2,
军民鱼水深情	l:1,
军法	n:2,
军法系	n:1,j:1,
军港	n:2,
军火	n:9,
军火商	n:4,
军火案	n:1,
军烈属	n:12,j:1,
军用	b:38,vn:1,
军用机	n:6,
军界	n:2,
军研	j:1,
军礼	n:3,
军种	n:6,
军科院	j:1,
军科院军史部	nt:1,
军管会	j:6,
军管会文艺处	nt:1,
军管组	n:1,
军粮	n:3,
军级	b:2,
军纪	n:1,
军统	j:2,
军职	n:6,
军舰	n:46,
军艺	j:3,
军营	n:137,
军营学	n:1,
军衔	n:39,
军衣	n:5,
军装	n:50,
军裤	n:1,
军规	n:1,
军警	n:34,
军警宪特	j:1,
军警民	j:3,
军警靴	n:1,
军训	v:10,vn:11,
军调处	j:1,
军调处执行部长春分部	nt:1,
军调部	n:1,
军费	n:10,
军车	n:11,
军转	j:82,vn:1,
军转办	j:5,
军转民	l:7,
军运	vn:2,
军运股	n:1,
军邮	n:1,
军部	n:6,
军长	n:29,
军阀	n:10,
军队	n:928,
军阵	n:2,
军需	n:16,
军需业	n:1,
军需厂	n:1,
军需处	n:1,
军需所	j:1,
军需部	n:1,
军魂	n:5,
军龄	n:3,
农	nr:1,Ng:151,j:36,
农一师	j:1,
农一师七团团部	nt:1,
农七师	j:1,
农专	j:4,
农业	n:4334,
农业与农村委员会	nt:4,
农业保险费	n:2,
农业党	n:5,
农业出版社编辑部	nt:1,
农业区	n:7,
农业厅	n:20,
农业发展银行	nt:13,
农业发展银行河南内乡支行	nt:1,
农业发展银行陕西省分行	nt:1,
农业司	n:2,
农业和农村委员会	nt:1,
农业品	n:1,
农业园	n:4,
农业国	n:7,
农业局	n:26,
农业展览馆	ns:1,
农业户	n:1,
农业机械部办公厅	nt:1,
农业机械部调研室综合处	nt:1,
农业法	n:13,
农业生产者	n:8,
农业界	n:4,
农业税	n:24,
农业税费	n:2,
农业部	nt:218,n:12,
农业部中国绿色食品发展中心	nt:1,
农业部中垦集团	nt:1,
农业部乡镇企业局	nt:6,
农业部优质农产品开发服务中心	nt:1,
农业部信息中心	nt:4,
农业部党组	nt:1,
农业部全国农作物种子质量监督检验测试中心	nt:2,
农业部全国菜篮子工程办公室	nt:1,
农业部农业司	nt:1,
农业部农垦总公司	nt:1,
农业部农技推广中心	nt:1,
农业部农机化管理司	nt:2,
农业部农村经济研究中心	nt:3,
农业部农药检定所	nt:2,
农业部市场信息司	nt:4,
农业部政策法规司	nt:1,
农业部畜牧兽医司	nt:2,
农业部科学技术与质量标准司	nt:1,
农业部科技与专利服务中心	nt:1,
农业部科技司	nt:1,
农业部科技委	nt:1,
农业部药检所	nt:1,
农业部计划司	nt:1,
农业银行四川省西昌市支行	nt:1,
农业银行总行	nt:1,
农业银行总行党组	nt:1,
农业银行昆明市分行	nt:1,
农业银行河南省上蔡县支行	nt:1,
农业银行浙江省分行	nt:1,
农业银行湖南省分行	nt:1,
农业队	n:1,
农丰	ns:3,
农丰里	ns:3,
农丰里居委会	nt:1,
农事	n:3,
农事图	n:1,
农产	b:1,
农产品	n:359,
农产品供应和服务公司	nt:2,
农人	n:4,
农会	n:5,
农作	n:1,vn:1,
农作物	n:108,
农信联社	j:1,
农八师	j:1,
农六师	j:2,
农具	n:9,
农函	j:1,
农函大	j:18,
农副业	n:17,
农副产品	j:146,
农副工	j:1,
农副食品	n:1,
农办	j:5,
农务	n:2,
农区	n:13,
农协	j:3,
农历	n:75,
农友	n:1,
农发所	j:1,
农发行	j:49,
农发行开封市分行	nt:1,
农发行江西省分行	nt:2,
农发行江西省分行开发信贷处	nt:1,
农发行泌阳县支行	nt:1,
农发行湖北省钟祥市支行	nt:1,
农口	b:2,n:6,j:1,
农合工	j:1,
农园	n:1,
农地	n:1,
农场	n:195,
农场主	n:8,
农垦	n:16,j:72,
农垦区	n:1,
农垦商社	nt:4,
农垦场	n:2,
农垦局	n:4,
农垦总局	nt:1,
农大	j:23,
农夫	n:7,
农奴	n:22,
农奴主	n:5,
农奴制	n:7,
农妇	n:9,
农姑	n:1,
农委	j:9,
农委会	j:1,
农字号	n:2,
农学	n:7,
农学会	n:8,j:7,
农学家	n:3,
农学系	n:1,
农学院	n:16,
农安	ns:4,
农安人	n:1,
农安县	ns:5,
农安县县委	nt:1,
农家	n:132,
农家乐	ns:1,
农家人	n:1,
农家女	n:14,
农家女百事通杂志社	nt:1,
农家娃	n:3,
农家宝	nz:4,
农家肥	n:13,
农展会	j:2,
农展馆	j:3,
农工	n:48,
农工党	n:2,j:28,
农工党中央	nt:17,
农工党商丘市委	nt:1,
农工党河南商丘市委	nt:1,
农工党福建省委	nt:1,
农工商	n:5,j:16,
农工商业	j:1,
农工商贸	j:1,
农工型	b:1,
农工委	j:3,
农工民主党	nt:9,
农工民主党中央	nt:7,
农工民主党广西党委	nt:1,
农工贸	j:7,
农工部	j:10,
农广校	j:2,
农庄	n:21,
农德孟	nr:8,
农忙	n:15,
农总行	j:1,
农情	n:1,
农户	n:457,
农户区	n:1,
农户家	n:7,
农房	j:2,
农技	j:108,
农技协	j:12,
农技员	j:7,
农技推广站	n:11,
农技科	n:1,
农技站	j:13,
农投	j:1,
农推	j:1,
农摊	n:1,
农改办	j:1,
农救	j:1,
农时	n:7,
农机	n:153,
农机具	n:18,
农机具馆	n:1,
农机办	j:1,
农机化	v:1,vn:6,
农机厂	n:4,
农机员	n:1,
农机局	n:10,j:1,
农机户	n:1,
农机手	n:4,
农机棚	n:1,
农机界	n:1,
农机站	n:7,j:1,
农机系	n:2,
农机部	nt:1,
农机院	n:1,
农村	n:3950,
农村专业技术协会	nt:1,
农村司	n:1,
农村所	n:1,
农村片	n:9,
农村致富技术函授大学	nt:1,
农林	j:48,
农林下路	ns:1,
农林业	n:2,
农林厅	n:1,
农林局	nt:1,
农林水	j:1,
农林水产省	nt:1,
农林水牧	j:1,
农林牧	j:6,
农林牧业	j:1,
农林牧副渔	j:3,
农林牧副渔业	j:2,
农林牧渔	j:4,
农林牧渔业	n:1,j:2,
农林部	nt:1,
农校	n:3,j:3,
农桑	j:1,
农歌	n:1,
农民	n:4202,
农民党	nt:1,n:12,
农民党联盟	nt:1,
农民协会	n:3,
农民工	n:57,
农民式	b:1,
农民战争	n:4,
农民日报	nz:1,
农民画	n:6,
农民起义	l:2,
农水	j:2,
农活	n:17,
农牧	j:29,
农牧业	n:1,j:77,
农牧业部	n:2,
农牧化	v:1,vn:1,
农牧区	j:15,
农牧厅	n:1,
农牧场	j:1,
农牧处	n:1,
农牧局	n:3,
农牧展	n:1,
农牧林	j:3,
农牧民	n:4,j:51,
农牧民人均	j:1,
农牧渔业	j:1,
农牧渔业部	nt:1,
农用	b:68,
农用品	n:1,
农用地	n:23,
农用车	n:14,
农田	n:165,
农田水利	n:22,l:45,
农电	j:12,
农电工	n:14,
农电站	n:2,j:1,
农畜	j:5,
农研	j:1,
农研所	j:2,
农神节	n:1,
农科	j:17,
农科园	j:1,
农科所	j:9,
农科技术	n:4,
农科教	j:89,
农科院	j:99,
农税	n:5,
农管局	j:1,
农经	n:1,j:3,
农经所	j:1,
农经站	j:5,
农经系	n:1,
农网	n:2,
农耕	v:1,vn:3,
农膜	n:21,
农舍	n:12,
农艺	n:8,
农艺园	n:1,
农艺师	n:23,
农茶场	j:1,
农药	n:166,
农药厂	n:11,
农药味	n:2,
农药评审委员会	nt:1,
农行	j:78,
农行上蔡县支行	nt:1,
农行南京城北支行	nt:1,
农行哈市分行	nt:1,
农行奖	n:1,
农行安化支行	nt:1,
农行山西省新绛县支行	nt:1,
农行山西省运城市新绛县支行	nt:1,
农行山西长子县支行	nt:1,
农行昆明市分行	nt:1,
农行河北省邯郸市分行	nt:1,
农行河南分行	nt:1,
农行河南省分行	nt:2,
农行河南驻马店分行	nt:1,
农行浙江温州市泰顺县支行	nt:1,
农行湖北省黄冈市黄州区支行	nt:1,
农行萧山支行	nt:1,
农行西昌市支行营业部	nt:1,
农行贵州省镇宁布依族苗族自治县支行	nt:1,
农行黄州支行	nt:1,
农话	j:6,
农调队	n:1,j:2,
农谚	n:3,
农负	j:4,
农贷	n:3,j:1,
农贸	b:1,n:1,j:8,
农贸市场	n:57,
农资	j:59,
农资办	j:1,
农轩	nr:2,
农转非	l:24,
农迁农	j:1,
农运	j:2,
农金	j:1,
农门	n:2,
农闲	v:1,b:14,n:6,
农（林）业厅	j:1,
农（牧）业	j:1,
冠	v:24,Ng:23,j:7,
冠丰华	nz:4,
冠丰华公司	nt:3,
冠亚	nz:5,
冠亚军	j:16,
冠以	v:1,
冠兴华	nz:1,
冠兴华实业公司	nt:1,
冠冕堂皇	i:3,
冠军	n:680,
冠军杯	n:21,
冠军杯赛	n:1,
冠军级	b:3,
冠军赛	n:62,
冠军队	n:14,
冠县	ns:2,
冠县县委	nt:1,
冠名	v:6,vd:1,vn:5,
冠名权	n:5,
冠名者	n:1,
冠家堡	ns:1,
冠心	j:1,
冠心病	n:14,
冠捷	nz:1,
冠有	v:1,
冠浦	nz:1,
冠状动脉	l:3,
冠生园	nz:2,
冠生园杯	nz:1,
冠生园杯国际足球赛	nz:1,
冠生园集团总公司	nt:1,
冠盖	n:2,
冠盖云集	l:2,
冠绝群伦	l:2,
冠罗尼	nr:4,
冠脉	n:1,
冠都	nz:2,
冠鸡	n:1,
冢	Ng:2,
冤	v:3,Ng:1,an:2,a:2,j:1,vn:2,
冤仇	n:1,
冤假错案	j:23,
冤大头	n:1,
冤孽账	n:1,
冤家	n:10,
冤家对头	n:2,
冤家易结不易解	l:1,
冤屈	n:7,
冤枉	v:6,a:1,vn:1,
冤枉事	n:1,
冤枉路	n:3,
冤枉钱	n:2,
冤案	n:9,
冤气	n:1,
冤狱	n:1,
冤错案	n:1,
冤魂	n:1,
冥	Ng:1,
冥冥	n:2,z:1,
冥冥之中	l:2,
冥寿	n:1,
冥思	v:1,
冥思苦索	i:1,
冥想	vn:1,
冥王星	n:6,
冥诞	n:1,
冥顽不灵	i:1,
冧	nx:1,
冬	Tg:151,
冬令	n:1,
冬作物	n:5,
冬储	n:1,
冬初	t:1,
冬剪	v:1,
冬去春来	l:3,
冬叶	n:1,
冬夜	n:13,
冬天	t:172,
冬奥	j:6,
冬奥会	j:295,
冬奥会组委会	nt:1,
冬奥运会	j:1,
冬妮	nr:1,
冬季	t:198,
冬季两项	n:23,
冬季圈	n:1,
冬宫	ns:4,
冬寒	n:2,
冬小麦	n:19,
冬忆	v:1,
冬忙	n:2,
冬情	n:1,
冬文	nr:3,
冬日	t:28,n:9,
冬春	t:5,
冬春季	t:1,j:2,
冬春汛	n:2,
冬暖夏凉	l:2,
冬暖式	b:5,
冬柴铁三	nr:2,
冬桃	n:1,
冬汛	n:4,
冬泳	v:1,n:8,vn:1,
冬泳者	n:1,
冬烘	a:1,
冬瓜	n:4,
冬眠	v:3,vn:1,
冬种	b:1,
冬笋	n:1,
冬至	t:2,
冬菜	n:6,
冬衣	n:2,
冬装	n:3,
冬训	v:14,vn:7,
冬训制	n:1,
冬趣	n:1,
冬运	v:1,j:2,
冬运会	j:10,
冬闲	n:6,
冬闲田	n:2,
冬间	t:1,
冬雨	n:6,
冬雪	n:1,
冬青	n:4,
冬麦	n:7,
冬麦区	s:1,n:17,
冮冶	nr:5,
冯	nr:43,m:1,
冯·叙多	nr:1,
冯·皮勒	nr:10,
冯·皮尔	nr:2,
冯·莫尔特克	nr:1,
冯·诺依曼	nr:1,
冯一平	nr:1,
冯世良	nr:1,
冯丹云	nr:1,
冯乃恩	nr:1,
冯乃愚	nr:1,
冯乃超	nr:1,
冯之浚	nr:8,
冯书庆	nr:1,
冯云海	nr:1,
冯亦代	nr:1,
冯亦珍	nr:6,
冯今松	nr:1,
冯仲汉	nr:2,
冯伟	nr:1,
冯传武	nr:1,
冯健亲	nr:2,
冯元蔚	nr:6,
冯光荣	nr:2,
冯克煦	nr:3,
冯克煦冯克熙	nr:1,
冯克熙	nr:1,
冯兰明	nr:3,
冯兰瑞	nr:1,
冯兵	nr:1,
冯其庸	nr:7,
冯其福	nr:1,
冯军荣	nr:1,
冯凌云	nr:1,
冯凯	nr:3,
冯凯旋	nr:1,
冯华健	nr:4,
冯华建	nr:1,
冯友	nr:1,
冯友兰	nr:17,
冯双庆	nr:1,
冯双白	nr:2,
冯向杰	nr:3,
冯启敏	nr:1,
冯启明	nr:1,
冯品清	nr:1,
冯喆	nr:2,
冯国伦	nr:1,
冯国勤	nr:2,
冯国灿	nr:2,
冯国璋	nr:1,
冯国经	nr:3,
冯地	nr:1,
冯坤	nr:1,
冯培恩	nr:1,
冯培英	nr:1,
冯士亮	nr:1,
冯士笮	nr:1,
冯大中	nr:1,
冯天林白玉龙	nr:1,
冯天林董毅敏	nr:1,
冯奎	nr:31,
冯娈云	nr:1,
冯学庆	nr:2,
冯学敏	nr:5,
冯安义	nr:13,
冯宏顺	nr:2,
冯宗兰张珈珞	nr:1,
冯宗璞	nr:2,
冯家聪	nr:1,
冯家镇	ns:1,
冯小刚	nr:1,
冯小宁	nr:1,
冯小松陈晓玲	nr:1,
冯尚喜	nr:1,
冯尚贤	nr:1,
冯岚	nr:1,
冯崇泰	nr:2,
冯巩	nr:3,
冯广发冯凌云	nr:1,
冯庆波	nr:1,
冯庆锵	nr:1,
冯康	nr:3,
冯建中	nr:1,
冯建华	nr:1,
冯建湘	nr:1,
冯强	nr:2,
冯彗	nr:1,
冯彦京	nr:1,
冯彦红	nr:1,
冯彩霞	nr:1,
冯德旭	nr:1,
冯志刚	nr:1,
冯怡生	nr:3,
冯惠明	nr:1,
冯惠芳	nr:2,
冯慧德	nr:1,
冯敏刚	nr:1,
冯文成	nr:1,
冯日乾	nr:1,
冯昌勇	nr:1,
冯昌勇刘裕国	nr:1,
冯明光	nr:1,
冯春河	nr:1,
冯春萍	nr:1,
冯春雨	nr:1,
冯昭奎	nr:3,
冯晓泉	nr:3,
冯晓燕	nr:4,
冯村	ns:2,
冯杰	nr:2,
冯林山	nr:1,
冯根良	nr:1,
冯桥乡	ns:1,
冯梅青	nr:1,
冯梦龙	nr:1,
冯梯云	nr:7,
冯梯云巫昌祯	nr:1,
冯武勇	nr:1,
冯永明	nr:1,
冯永祥	nr:2,
冯沙尔克韦克	nr:2,
冯洪波	nr:1,
冯海发	nr:2,
冯海峰	nr:1,
冯润胜	nr:3,
冯淬	nr:2,
冯湾村	ns:1,
冯炯华	nr:1,
冯煦初	nr:6,
冯牧	nr:1,
冯玉兰	nr:1,
冯玉忠	nr:2,
冯玉祥	nr:15,
冯玉臻兰义彤	nr:1,
冯玉辉	nr:1,
冯理达	nr:3,
冯琼	nr:3,
冯瑛冰	nr:3,
冯真	nr:1,
冯石奇	nr:2,
冯硕余	nr:1,
冯祖贻	nr:1,
冯秀山	nr:1,
冯秉顺	nr:2,
冯秦	nr:1,
冯笑山	nr:1,
冯笠	nr:1,
冯耕田	nr:1,
冯耿兴	nr:1,
冯胜	nr:2,
冯至	nr:4,
冯苏祥	nr:1,
冯苏祥成克杰	nr:1,
冯英	nr:1,
冯蔚	nr:1,
冯西海	nr:1,
冯觉新	nr:1,
冯超然	nr:1,
冯越	nr:2,
冯远	nr:1,
冯金声刘建镍	nr:1,
冯金武郭启宏	nr:1,
冯钦哉	nr:1,
冯银忠	nr:1,
冯长根	nr:1,
冯阳华	nr:1,
冯雅丽	nr:1,
冯雏音	nr:1,
冯雷	nr:2,
冯霄	nr:19,
冯霄张首映	nr:1,
冯顶震	nr:1,
冯颖	nr:3,
冯骥	nr:2,
冯骥才	nr:13,
冰	v:2,n:106,j:1,
冰上	s:1,n:9,
冰冰	v:1,
冰冷	z:21,
冰冻	v:8,vn:1,
冰冻三尺	i:7,
冰冻三尺非一日之寒	i:4,
冰凉	z:3,
冰凌	n:5,
冰凌花	n:1,
冰刀	n:13,
冰区	s:1,n:2,
冰协	j:1,
冰台	n:2,
冰啤	j:1,
冰场	n:6,
冰块	n:7,
冰坛	n:3,
冰坨	n:1,
冰城	ns:1,n:5,
冰城人	n:3,
冰塔林	n:1,
冰壶	n:2,
冰天雪地	i:19,
冰封雪飘	i:1,
冰层	n:23,
冰山	n:19,
冰岛	ns:12,
冰岛共和国	ns:2,
冰岛力思ＬＹＳＩ集团公司	nt:1,
冰峪	nz:1,
冰峪旅游公路	ns:1,
冰峰	n:3,
冰峰雪岭	n:1,
冰崩	vn:2,
冰川	n:48,nz:2,
冰川学	n:3,
冰川所	n:1,
冰心	nr:21,n:1,
冰心儿童图书奖	nz:2,
冰心儿童图书奖评委会	nt:1,
冰心奖	n:1,
冰心文学院	nt:1,
冰态水	n:3,
冰情	n:2,
冰挂	n:1,
冰排	n:1,
冰晶	n:1,
冰暴	an:1,n:11,
冰期	t:2,
冰柜	n:3,
冰柱	n:1,
冰样	n:1,
冰棍	n:6,
冰棍儿	n:2,
冰棱	n:1,
冰毒	n:1,
冰水	n:2,
冰河	n:6,
冰河期	t:2,n:1,
冰波	nr:1,
冰洁	nr:2,
冰洞	n:1,
冰海	n:2,
冰淇淋	n:8,
冰清玉洁	i:3,
冰温	n:1,
冰湖	n:1,
冰溜	n:1,
冰激凌	n:1,
冰灯	n:11,
冰灯展	n:2,
冰点	n:3,
冰熊	nz:7,
冰熊王	nz:1,
冰熊股份	nt:4,
冰片	n:1,
冰玮	nr:1,
冰球	n:58,
冰球史	n:1,
冰球场	n:1,
冰球界	n:2,
冰球赛	n:7,
冰球队	n:17,
冰球馆	n:3,
冰盖	n:11,
冰碴	n:4,
冰窖	n:4,
冰窟	n:4,
冰窟窿	n:2,
冰笋	n:1,
冰箱	n:131,
冰箱业	n:1,
冰箱压缩	nt:1,
冰箱门	n:1,
冰粒	n:1,
冰糖	n:2,
冰糖葫芦	n:7,l:2,
冰结	n:1,
冰舞	n:2,
冰芯	n:5,
冰蛋	n:1,
冰袋	n:1,
冰调	j:1,
冰轮	j:1,
冰道	n:1,
冰释	v:1,
冰钎	n:1,
冰铜	n:3,
冰雕	n:14,
冰雕玉琢	l:1,
冰雕群	n:1,
冰雨	n:1,
冰雪	n:95,
冰雪崩	n:1,
冰雪期	n:1,
冰雪界	n:5,
冰雪节	n:5,
冰雹	n:35,
冰霜	n:3,
冰面	n:11,
冰鞋	n:6,
冰鞋跟	n:1,
冰风暴	n:2,
冰魂	n:1,
冲	v:255,p:6,a:1,n:1,j:1,
冲上	v:1,
冲下	v:1,
冲决	v:2,
冲凉	v:2,
冲出	v:1,
冲击	v:130,vn:268,
冲击伤	n:1,
冲击力	n:18,
冲击性	n:2,
冲击方	n:1,
冲击波	n:20,
冲击钻	n:1,
冲刷	v:12,vn:2,
冲刺	v:22,vn:16,
冲剂	n:8,
冲力	n:3,
冲动	a:7,an:14,
冲动型	n:1,
冲劲	n:4,
冲压	v:1,vn:1,
冲压线	n:2,
冲厕	v:1,
冲吊	n:1,vn:2,
冲向	v:2,
冲垮	v:8,
冲天	z:17,
冲天炮	n:1,
冲开	v:3,
冲扩点	n:2,
冲抵法	n:1,
冲拳	v:1,
冲掉	v:1,
冲撞	v:9,vn:3,
冲撞力	n:1,
冲散	v:2,
冲断	vn:1,
冲昏	v:1,
冲昏头脑	l:1,
冲模	n:2,
冲毁	v:5,
冲水式	b:2,n:1,
冲泡	v:1,
冲洗	v:11,
冲浪	v:2,
冲浪者	n:1,
冲消	v:4,
冲淡	v:12,
冲渣池	n:1,
冲砂闸	n:2,
冲破	v:67,
冲积	v:1,vn:1,
冲突	v:117,vn:511,
冲突点	n:1,
冲线	v:1,
冲绳	ns:45,
冲绳公园	ns:1,
冲绳列岛	ns:1,
冲绳县	ns:7,
冲绳县驻日美军普天间基地	nt:1,
冲绳女子学校	nt:1,
冲绳岛	ns:3,
冲绳恩纳村户田国际和平纪念研究所	nt:1,
冲绳纪念公园	ns:1,
冲绳那霸与仪公园	ns:1,
冲绳馆	n:1,
冲脉乡	ns:1,
冲腾	v:1,
冲账	v:1,
冲赛康	ns:1,
冲走	v:11,
冲销	v:6,vn:2,
冲锋	v:10,vn:2,
冲锋号	n:2,
冲锋枪	n:9,
冲锋陷阵	i:4,
决	v:4,d:21,Vg:39,
决一高低	l:1,
决不	d:220,
决不会	v:24,
决不能	v:105,
决出	v:23,
决口	v:7,
决堤	v:3,
决定	v:2157,d:1,n:856,vn:140,
决定书	n:16,
决定性	n:77,
决定权	n:8,
决定论	n:9,
决心	v:17,d:164,n:277,vn:1,
决心书	n:3,
决意	v:1,d:15,
决战	v:31,n:1,vn:20,
决斗	v:1,vn:3,
决断	v:2,n:9,vn:1,
决死队	n:2,
决然	d:7,
决策	v:206,n:420,vn:401,
决策人	n:3,
决策人员	n:2,
决策制	n:1,
决策层	n:17,
决策性	n:2,
决策权	n:17,
决策法	n:1,
决策者	n:55,
决策论	n:1,
决算	v:1,n:47,vn:1,
决算期	n:2,
决绝	v:1,
决胜	v:6,
决胜于千里之外	i:1,
决胜千里之外	i:1,
决胜局	n:4,
决胜盘	n:5,
决裂	v:3,
决议	n:671,vn:1,
决议案	n:4,
决赛	v:103,vn:385,
决赛史	n:1,
决赛圈	n:13,
决赛权	n:23,
决非	v:19,
决非偶然	l:1,
况	Ng:1,Vg:1,
况且	c:47,
况世明	nr:1,
况味	n:1,
况璃	nr:1,
冶	Vg:2,
冶核	j:1,
冶炼	v:9,vn:17,
冶炼厂	n:13,
冶金	n:86,
冶金工业局	nt:1,
冶金工业部	nt:4,
冶金工业部洛阳耐火材料研究院	nt:1,
冶金焦	n:1,
冶金部	nt:17,
冶金部一勘局驻河北滦县物探队	nt:1,
冶金部建筑研究院	nt:1,
冶金部当时是重工业部钢铁局	nt:1,
冶金部黄金管理局	nt:1,
冶钢	n:1,
冷	nr:2,an:4,Ng:3,a:124,ad:5,
冷不丁	d:2,
冷不防	d:1,
冷傲	an:1,a:2,
冷僻	a:2,
冷光	n:1,
冷军卫	nr:1,
冷冷清清	z:19,
冷冷的	z:1,
冷冻	v:7,vn:16,
冷冻厂	n:3,
冷冻品	n:1,
冷冻室	n:7,
冷冻箱	n:1,
冷冻货	n:1,
冷冻车	n:2,
冷冻鸡	n:1,
冷凝	vn:1,
冷却	v:9,vn:14,
冷却塔	n:3,
冷却期	n:1,
冷却水	n:4,
冷嘲热讽	i:4,
冷国清	nr:1,
冷场	n:1,
冷处理	n:2,
冷天	t:2,
冷害	n:1,
冷寂	an:2,
冷射	v:1,
冷峻	an:3,z:17,
冷巴	nr:1,
冷干	a:1,
冷库	n:5,
冷彤	nr:2,
冷战	n:162,
冷战史	n:1,
冷拼	n:1,
冷暖	n:31,
冷暖不定	l:1,
冷暖型	b:1,n:1,
冷暖空气	j:13,
冷杉	n:4,
冷板	n:1,
冷板凳	l:2,
冷极	d:1,
冷柜	n:12,
冷气	n:2,
冷水	n:17,
冷水域	n:2,
冷水性	n:6,
冷水江	ns:1,
冷水江市	ns:2,
冷水滩	ns:1,
冷水滩区	ns:4,
冷水澡	n:2,
冷汗	n:4,
冷涡	n:4,
冷淑梅	nr:2,
冷淡	v:4,a:18,vn:1,
冷清	a:25,an:3,
冷湖	ns:3,
冷湖地区	ns:1,
冷溶	nr:2,
冷漠	a:24,an:3,
冷点	n:1,
冷热	n:9,
冷热战	j:1,
冷热水	n:2,
冷盘	n:1,
冷眼	d:3,
冷眼旁观	i:1,
冷砸	l:1,
冷科	nz:4,
冷空气	n:132,
冷笑	v:2,
冷箭	n:1,
冷缩	v:1,
冷者	n:1,
冷肆	n:1,
冷艳	an:1,a:2,
冷若冰霜	i:2,
冷落	v:17,an:2,a:9,vn:14,
冷藏	v:1,vn:9,
冷藏室	n:7,
冷藏柜	n:1,
冷藏箱	n:1,
冷血动物	l:1,
冷言冷语	i:1,
冷言冷语者	n:1,
冷语	n:1,
冷贮	v:1,
冷轧	v:4,vn:2,
冷轧厂	n:1,
冷轧板	n:1,
冷遇	n:5,
冷配点	n:1,
冷酷	a:5,an:1,
冷铁勋	nr:1,
冷链	n:1,
冷锋	n:1,
冷门	n:35,
冷雨	n:1,
冷雪霜	nr:1,
冷霜	n:1,
冷静	an:12,a:69,ad:23,
冷面	n:2,
冷风	n:10,
冷风型	n:1,
冷飕飕	z:1,
冷食	n:3,
冷食品	n:1,
冷饮	n:6,
冻	v:65,Ng:1,vn:1,
冻伤	v:9,n:1,vn:2,
冻僵	v:5,
冻原	n:1,
冻土	n:5,
冻土区	n:1,
冻土带	n:1,
冻害	n:10,
冻干	v:1,
冻干粉	n:2,
冻库	n:1,
冻死	v:10,vn:1,
冻灾	n:2,
冻猪肉	n:2,
冻疮	n:2,
冻结	v:82,vn:10,
冻结令	n:1,
冻结室	n:1,
冻虾	n:1,
冻融	v:1,
冻裂	v:2,
冻雨	n:1,
冻雪	n:2,
冻鸡	n:1,
冼	nr:2,
冼崇浩	nr:1,
冼星海	nr:3,
冼笃信	nr:1,
冼鼎昌	nr:1,
冽冽	z:2,
净	d:32,b:1,Ng:2,a:117,j:1,
净值	n:1,
净利润	n:23,
净利润率	n:1,
净化	v:82,vn:40,
净化剂	n:1,
净化器	n:12,
净化师	n:1,
净化水	n:1,
净化论	n:1,
净土	n:12,
净增	v:23,
净增值	n:1,
净增支	n:2,
净增额	n:1,
净宽	n:1,
净尽	z:3,
净度	n:1,
净慧	nr:1,
净慧宛耀宾	nr:1,
净摊款国	n:1,
净收入	n:4,
净月潭	ns:2,
净水	n:5,
净水剂	n:1,
净流入	vn:1,
净流量	n:1,
净现金	n:7,
净空	n:2,
净胜球	n:5,
净菜	n:4,vn:1,
净菜业	n:1,
净菜社	n:11,
净菜行	n:1,
净资产	n:77,
净赚	v:6,
净重	n:8,
净重量	n:1,
净额	n:4,
净高	n:3,
凄	Ag:3,
凄冷	a:1,
凄凄	z:2,
凄凄惨惨	z:2,
凄凉	an:2,a:9,
凄切	a:1,
凄厉	a:3,
凄婉	a:3,
凄怆	an:1,
凄惨	a:2,
凄惶	an:1,a:1,
凄楚	a:5,
凄清	an:1,a:2,
凄然	z:2,
凄美	a:3,
凄苦	a:2,
凄风楚雨	i:1,
准	v:30,d:19,Ng:1,a:287,h:8,
准东	ns:1,j:1,
准予	v:14,vn:1,
准产证	n:3,
准儿	n:2,
准入	v:2,vn:11,
准入关	n:1,
准军事	n:14,
准则	n:161,
准印证	n:1,
