@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
四连版	l:1,
四连败	j:1,
四通	j:2,nz:11,
四通八达	i:9,
四通桥	n:1,
四邻	n:3,
四邻八乡	l:1,
四邻八村	i:1,
四郎探母	n:6,
四部丛刊	n:1,
四部备要	n:1,
四部曲	n:1,
四里八乡	i:1,
四重唱	n:2,
四重奏	n:3,
四野	j:1,nz:2,n:4,
四长	nr:2,
四难	j:1,
四面	f:20,
四面体	n:1,
四面八方	i:42,
四面开花	l:1,
四面楚歌	i:3,
四顾无人	l:1,
四马台村	ns:1,
回	q:184,nr:10,v:784,Ng:1,j:17,
回乡	v:74,vn:14,n:3,
回事	n:2,
回传	v:1,
回位	v:1,vn:1,
回信	v:13,vn:2,n:25,
回击	v:7,vn:3,
回函	v:2,
回到	v:407,
回升	v:150,vn:59,
回单	n:2,
回去	v:120,vn:1,
回合	q:2,n:48,
回吐	v:2,
回味	v:15,vn:3,n:1,
回味无穷	i:11,
回响	v:23,n:2,
回国	v:277,vn:18,
回国率	n:1,
回城	v:4,
回填	v:1,
回声	n:11,
回复	v:13,vn:4,
回复率	n:2,
回天之力	i:2,
回天无力	i:1,l:1,
回头	d:11,v:20,vn:1,
回头客	n:16,
回头率	n:2,
回头见	l:1,
回存	vn:1,
回守	v:1,
回家	v:274,vn:3,
回师	v:1,
回应	v:24,vn:28,
回廊	n:1,
回廊式	n:1,
回弹性	n:1,
回归	v:650,vn:102,nz:7,
回归率	n:1,
回忆	v:174,vn:75,vd:3,
回忆人	n:1,
回忆录	n:29,
回想	v:40,vn:4,
回扣	v:1,vn:1,n:58,
回扣率	n:1,
回扣费	n:1,
回扣风	l:2,
回执	n:17,
回报	v:81,vn:93,n:3,
回报率	n:16,
回收	v:77,vn:51,
回收期	t:1,n:2,
回收率	n:6,
回收站	n:2,
回敬	v:8,vn:1,
回旋	v:5,vn:19,
回旋度	n:1,
回族	nz:246,
回族史	n:1,
回春	v:7,
回暖	v:1,
回望	v:5,
回来	v:290,
回款率	n:2,
回款额	n:1,
回民	n:22,
回水	vn:1,
回水区	n:1,
回水沟	n:1,
回沙	nz:1,
回流	v:15,vn:3,n:10,
回游	vn:1,
回溯	v:2,vn:2,
回漩	v:1,
回潮	v:10,vn:6,
回炉	v:1,
回生	v:1,
回电	n:1,
回目	n:3,
回眸	v:27,vn:5,
回程	n:3,
回程票	n:2,
回稳	vn:1,
回笼	v:14,vn:10,
回笼率	n:1,
回答	v:520,vn:108,n:3,
回绝	v:9,vn:1,
回老家	v:2,
回肠荡气	i:2,
回航	v:1,
回荡	v:40,
回落	v:112,vn:25,
回视	v:1,
回访	v:11,vn:12,
回话	v:1,
回话者	n:1,
回请	v:1,
回购	v:2,vn:11,
回贺	n:1,
回赠	v:5,
回路	n:2,
回身	v:2,
回车	v:1,
回转	vn:2,
回迁	v:5,vn:5,
回过	v:19,
回返	v:2,
回还	v:1,
回避	v:81,vn:11,
回避制	n:1,
回部	nz:1,
回销粮	n:1,
回防	v:1,
回音	n:19,
回音壁	n:4,
回顾	v:231,vn:21,
回顾展	n:11,
回顾性	n:1,
回馈	v:2,
回首	v:50,
回马枪	n:3,
回龙山畔	n:1,
回龙村	ns:1,
因	p:1750,c:378,v:1,Ng:4,n:1,
因·德布勒因	nr:1,
因为	p:984,c:1096,
因了	c:1,
因人制宜	i:2,
因人施教	l:1,
因人而异	i:7,
因企制宜	l:4,
因佩里亚	nr:1,
因公殉职	l:1,
因势利导	i:31,
因吉尔利克	ns:1,
因噎废食	i:5,
因地制宜	i:125,
因子	n:11,
因小失大	i:4,
因巴巴区	ns:1,
因循	v:1,
因循守旧	i:24,
因情制宜	l:1,
因慧	nr:1,
因扎吉	nr:2,
因故	d:11,
因数	n:1,
因斯布鲁克	nz:1,
因时制宜	i:1,
因明	nr:1,n:1,
因易	nr:1,
因材施教	i:10,
因村制宜	l:2,
因果	n:5,
因此	r:1,c:1848,d:2,
因特	nz:1,n:1,
因特网	n:214,
因特网址	n:3,
因特网日	n:1,
因特网络	n:1,
因特网节	n:3,
因特耐特网	n:1,
因由	n:2,
因着	p:2,
因素	n:1017,
因素法	n:1,
因缘	n:2,
因而	c:478,
因苏尔萨	nr:4,
因袭	v:1,vn:1,
因袭性	n:1,
因迪克	nr:5,
因陋就简	i:5,
囡囡	nr:16,
团	q:34,v:4,j:2,n:391,
团中央	nt:140,
团代会	j:5,
团伊玖磨	nr:2,
团伙	n:78,
团伙化	v:1,
团伙处	n:1,
团会后	f:1,
团体	n:504,
团体性	n:1,
团体操	n:2,
团体票	n:3,
团体赛	n:16,
团元	nr:3,
团区委	n:11,
团十三大	j:4,
团县委	n:5,
团史	n:1,
团员	n:92,
团员证	n:1,
团团	q:3,d:12,n:1,
团团伙伙	n:1,
团团圆圆	z:1,
团团转	i:2,l:1,
团圆	v:16,vn:5,
团圆会	n:1,
团圆年	n:1,
团圆饭	n:9,
团场	n:13,
团城	ns:4,n:1,
团委	n:79,
团子	nr:1,
团宣	nr:1,
团小组	n:2,
团州委	n:1,
团工委	j:3,
团市委	n:30,
团干	n:1,
团干部	n:17,
团年饭	n:1,
团徽	n:3,
团总支	j:3,
团扇	n:1,
团扇鳐	n:1,
团拜	v:2,vn:7,
团拜会	v:1,n:32,
团支部	n:26,
团政委	j:12,
团旗	n:3,
团日	n:1,
团服	n:1,
团校	n:11,
团歌	n:2,
团省委	j:12,
团章	n:1,
团级	b:3,
团组织	n:96,
团结	a:410,ad:12,v:399,vn:48,nz:4,an:250,n:1,
团结一心	l:11,
团结乡	ns:2,
团结党	n:2,
团结友爱	l:2,
团结报	n:3,
团结星	n:1,
团结村	ns:2,
团结湖	ns:3,
团职	n:3,
团聚	v:43,vn:3,
团费	n:4,
团部	n:9,
团里	n:19,
团长	n:280,
团队	n:52,
团队票	n:1,
囤	v:2,Ng:2,
囤仓	n:1,
囤积	v:3,
囤积居奇	i:1,
囫囵	d:1,
囫囵吞枣	i:1,
囫囵的	z:1,
园	q:2,nr:4,Ng:57,
园丁	ns:1,n:15,
园丁奖	nz:3,
园中	s:5,
园中园	n:2,
园内	s:20,n:4,
园区	n:53,
园区型	n:1,
园后	s:1,
园园	nr:4,
园囿	n:1,
园圃	n:1,
园地	n:49,
园子	n:7,
园容	n:1,
园居	n:1,
园平	nr:1,
园旁	s:1,
园林	n:97,
园林化	v:5,vn:1,
园林学家	n:1,
园林局	n:6,
园林师	n:1,
园林式	b:3,n:2,
园林节	n:1,
园洲镇	ns:1,
园田	n:1,
园田博之	nr:1,
园田地	n:1,
园田直	nr:1,
园艺	n:67,
园艺区	n:1,
园艺场	n:3,
园艺型	b:1,n:1,
园艺学	n:1,
园艺点	n:1,
园艺系	n:3,
园艺节	n:1,
园边	s:3,
园里	s:2,
园长	n:3,
园顺	nz:1,
困	a:5,v:28,vn:2,Ng:1,an:3,
困倦	a:1,an:2,
困厄	an:2,
困境	n:346,
困守	v:2,
困局	n:1,
困惑	a:27,an:29,
困扰	v:95,vn:36,
困窘	a:2,an:6,
困苦	a:17,an:13,
困陷	v:1,
困难	a:866,vn:2,an:1444,
困难性	n:2,
困难户	n:41,
困难重重	l:26,
困顿	a:1,an:6,
围	q:1,v:192,Ng:3,vd:1,
围产	vn:2,
围住	v:27,
围剿	v:23,vn:3,
围困	v:15,vn:1,
围困战	n:3,
围场	n:1,
围场路	n:1,
围坐	v:6,
围垦	v:8,vn:3,
围垦区	n:1,
围城	v:7,n:19,
围堤	n:3,
围堰	n:38,
围堵	v:1,vn:2,
围塘机	n:1,
围墙	n:44,
围屋	n:2,
围岩	n:2,
围巾	n:9,
围建	v:1,
围抢	vn:1,
围护	v:1,
围拢	v:5,
围捕	v:1,
围攻	v:8,vn:7,
围栏	n:15,
围桌	n:2,
围棋	n:195,
围棋手	n:1,
围棋界	n:3,
围棋赛	n:28,
围棋队	n:1,
围歼	v:1,vn:2,
围湖造田	l:2,
围界	n:1,
围着	v:1,
围绕	v:656,
围绳	n:2,
围网	n:1,
围聚	v:1,
围衬	v:1,
围裙	n:4,
围观	v:21,vn:5,
围观者	n:6,
围追	v:5,vn:3,
围隔	vn:1,
围障	n:1,
囹圄	n:2,
固	Vg:17,Dg:7,nr:3,Ag:2,j:13,
固住	v:1,
固体	n:44,
固体潮	n:1,
固力	nz:1,
固化	v:2,vn:1,
固原	ns:6,
固原县	ns:3,
固县	ns:1,
固城乡单杜科村	ns:1,
固墙镇	ns:2,
固始县	ns:1,
固守	v:15,
固安	ns:1,
固安县	ns:1,
固定	a:110,ad:4,v:43,vn:42,n:1,vd:1,
固定岗	n:1,
固定工	n:2,
固定式	b:1,
固定性	n:1,
固定汇率	l:6,
固定汇率制	n:3,
固定点	n:1,
固定资产	l:195,
固态	n:4,
固态氢	n:1,
固执	a:12,v:1,an:2,
固执己见	i:2,
固有	a:1,b:39,
固步自封	i:13,
固氮	n:3,
固氮酶	n:1,
固沙	v:4,vn:1,
固然	c:50,d:58,
固能	v:1,
固脚	v:1,vn:1,
固若金汤	i:2,
固镇	ns:1,
固阳	ns:1,
国	q:7,nr:13,Ng:1,j:3,m:2,n:5202,
国三	nr:2,
国中	nr:1,
国丽	nr:1,
国义	nr:18,
国乐	n:2,
国书	n:14,
国事	n:34,
国事访问	l:138,
国交昌运	l:1,
国产	b:251,vn:1,n:3,
国产化	v:11,vn:19,
国产化率	n:11,
国产品	n:4,
国产机	n:2,
国产棉	n:4,
国产车	n:7,
国产马	n:1,
国亭	nr:3,
国亮	nr:1,
国人	n:64,
国仓	nr:3,
国以民为本	l:1,
国仪	r:1,
国企	j:315,
国企办	j:1,
国优	b:3,n:1,
国会	nr:1,n:396,
国会山	ns:6,
国伟	nr:9,
国伦	nr:2,nz:1,
国体	n:1,
国俊	nr:11,
国信	nr:3,nz:6,
国债	n:446,
国债券	n:9,
国债率	n:3,
国储棉	j:2,
国光	nr:24,nz:1,
国光村	ns:1,
国兰	nr:2,
国共	j:30,
国兴	nr:10,
国其	nr:3,
国典	nr:1,
国内	s:2196,f:6,
国内化	v:1,
国内外	s:479,j:1,
国内法	n:1,
国内省	n:1,
国内部	n:4,
国军	n:1,
国凡	nr:2,
国凤	nr:8,
国初	nr:2,
国利	nr:1,nz:1,
国别	n:11,
国别性	n:1,
国力	nz:4,n:47,
国力式微	l:1,
国力队	nt:7,
国办	vn:2,j:6,
国务	n:92,
国务卿	n:180,
国务委员	l:1,n:293,
国务委员会	n:1,
国务聊	n:1,
国务部	n:1,
国务院	t:1,nt:2967,n:80,
国务院令	n:10,
国勇	nr:2,
国勋	nr:1,
国勤	nr:3,
国华	nr:36,
国卫	nr:1,
国卿	nr:6,
国友	nr:1,nz:2,
国发	nr:2,j:1,
国台办	j:1,
国史	n:5,
国号	n:1,
国合	j:3,
国名	n:6,
国后	ns:1,
国君	nr:2,n:1,
国品	nr:1,
国响	nr:1,
国商	j:23,
国喜	nr:1,
国嘉	nz:3,
国器	nr:22,n:1,
国团	nr:2,
国土	n:181,
国土厅	n:2,
国土局	n:3,
国土报	n:4,
国均	nr:1,
国城	nr:1,
国培	nr:1,
国基	nr:1,
国境	n:4,
国境点	n:2,
国境线	n:6,
国增	nr:1,
国士	n:1,
国声	nr:1,
国外	s:738,ns:1,
国大	nz:3,
国大党	nt:2,n:139,
国奥	j:3,
国奥队	nt:2,j:5,
国如	nr:1,
国威	nr:1,n:5,
国子监	ns:1,n:1,
国学	nr:3,n:14,
国宁	nr:1,
国安	nr:20,nz:59,
国安队	nt:123,
国宏	nr:2,
国定	b:14,nr:1,vn:4,j:1,nz:1,
国宝	nr:2,n:13,
国宝级	b:3,
国宴	n:14,
国家	n:13459,
国家制式	n:1,
国家化	vn:1,
国家室	n:1,
国家局	n:10,
国家所有	l:22,
国家教委	j:151,
国家机关	l:236,
国家机器	l:10,
国家杜马	nz:135,
国家标准	n:41,
国家税	n:1,
国家级	b:214,
国家股	n:7,
国家队	n:153,
国宾	nr:2,n:6,
国宾馆	n:70,
国富	nr:6,
国富民强	i:2,
国屏	nr:6,
国峰	nr:2,
国常	nr:1,
国平	nr:13,
国庆	t:39,nr:52,n:1,
国庆日	n:2,
国庆节	t:20,
国库	n:59,
国库券	n:41,
国库部	n:2,
国度	n:22,
国强	nr:77,
国强民富	l:1,
国彪	nr:2,
国彬	nr:1,
国徽	n:14,
国志	nr:1,
国忠	nr:11,
国情	n:336,
国成	nr:17,
国房	j:3,
国手	n:36,
国才	nr:1,
国投	j:14,nz:2,
国擎	nr:1,
国放	nr:25,
国政	nr:11,
国政系	n:1,
国文	nr:4,n:2,
国斌	nr:2,
国新	nr:2,
国方	nz:1,
国旅	j:7,
国旗	n:150,
国旗班	n:2,
国无宁日	l:2,
国昌	nr:4,
国明	nr:18,
国星	nr:2,
国春	nr:6,
国是	n:19,
国显	nr:1,
国普	nz:1,
国有	v:25,vn:3337,
国有制	n:5,
国有化	v:3,vn:1,
国有民助	l:1,
国有股	n:5,
国术会	n:1,
国权	nr:81,n:1,
国材	nr:1,
国村	nr:1,
国杰	nr:21,
国松	nr:1,
国林	nr:6,
国林风	nz:7,
国柱	nr:3,
国标	nr:2,j:3,
国标舞	n:2,
国栋	nr:46,
国桐	nr:1,
国桢	nr:4,
国梁	nr:56,
国棉	j:17,
国棉厂	j:1,
国森	nr:1,
国槐	n:3,
国模	nr:1,
国欣	nr:1,
国歌	n:41,
国歌声	n:20,
国正	nr:5,
国武	nz:1,
国殇	n:1,
国民	nr:4,n:443,
国民之声	nz:3,
国民之声党	n:4,
国民党	nt:1,n:239,
国民党员	n:1,
国民军	n:2,
国民宫	n:1,
国民性	n:1,
国民收入	n:20,
国民政府	n:9,
国民新党	n:1,
国民经济	n:932,
国江	nr:2,
国治	nr:1,
国泉	nr:1,
国法	n:14,
国泰	nr:5,j:1,nz:14,
国泰民安	i:12,
国洪	nr:1,
国清	nr:11,
国湖	nr:1,
国湘	nr:2,
国潮	nr:1,
国灿	nr:3,
国炯	nr:1,
国烟	nr:1,
国焘	nr:10,
国熙	nr:1,
国父	n:3,
国玉	nr:1,
国王	n:181,
国王队	nt:1,
国珠	nr:4,
国球	n:3,
国琦	nr:32,
国琴	nr:1,
国瑞	nr:4,
国璋	nr:2,
国生	nr:4,
国用	nr:1,
国田	nr:1,
国电债	j:2,
国画	n:41,
国画室	n:1,
国画家	n:5,
国画展	n:6,
国画系	n:2,
国界	n:39,
国界线	n:3,
国盛	nr:6,
国相	nr:1,
国睿	nr:1,
国破家亡	i:1,
国礼	n:1,
国祝	nr:1,
国祥	nr:15,
国祯	nr:5,
国福	nr:2,
国秀	nr:1,
国税	j:7,n:43,
国税局	j:103,n:8,
国立	b:56,nr:3,vn:2,
国立市	ns:1,
国章	nr:12,
国端	nr:1,
国策	n:66,
国籍	n:23,
国籍法	n:6,
国粹	nr:1,n:10,
国粹主义	n:1,
国纪	nr:1,
国经	nr:4,
国统区	j:1,n:7,
国统矿	n:1,
国维	nr:7,
国者	n:1,
国耻	n:10,
国联	j:1,
国胜	nr:15,
国能	nr:12,
国脉	nz:1,
国脉杯	nz:4,
国脚	n:10,
国臣	nr:1,
国臻	nr:1,
国航	j:34,
国舫	nr:4,
国良	nr:24,
国色	n:2,
国色天香	i:4,
国芬	nr:2,
国花	nr:1,n:1,
国芳	nr:5,
国英	nr:20,
国范	nr:1,
国荣	nr:33,
国药城	ns:1,
国萍	nr:1,
国营	b:50,
国营企业	n:13,
国葬	n:1,
国蓉	nr:1,
国藩	nr:5,
国裕	nr:3,
国计民生	i:24,
国议会	n:2,
国记	nr:1,
国诚	nr:3,
国语	n:2,
国豪	nr:4,
国财	nr:1,
国贤	nr:3,
国货	n:20,
国贸	b:1,j:2,nz:14,n:1,
国贸局	j:1,
国贼	n:2,
国资	j:4,n:1,
国资委	j:2,
国资局	j:2,
国超	nr:1,
国路	n:4,
国转非	j:1,
国辉	nr:5,
国达	nr:1,
国运	n:6,
国进	nr:1,
国连	nr:1,
国选	nr:1,
国道	nr:1,n:102,
国邦	nr:1,
国都	n:4,
国酒	n:1,
国钧	nr:13,
国锋	nr:2,
国锠	nr:1,
国镇	nr:1,
国门	n:60,
国防	b:1,vn:1,n:459,
国防军	n:21,
国防司	n:2,
国防园	n:1,
国防报	n:4,
国防林	n:2,
国防法	n:36,
国防绿	n:1,
国防观	n:4,
国防部	nr:1,nt:30,n:79,
国防部长	n:271,
国际	n:7204,
国际主义	n:2,
国际主义者	n:2,
国际会	n:1,
国际公法	l:1,
国际共运	j:2,
国际化	v:51,vn:51,
国际台	n:5,
国际周	n:24,
国际场	n:1,
国际奖	n:2,
国际局	n:1,
国际性	n:53,
国际歌	n:7,
国际法	n:44,
国际禁毒日	t:4,
国际竞争性	n:2,
国际篇	n:1,
国际级	b:3,
国际联盟	l:1,
国际象棋	n:68,
国际象棋赛	n:1,
国际部	n:19,
国际馆	n:2,
国际７０８	nz:1,
国难	n:6,
国难日	n:1,
国雄	nr:7,
国霞	nr:1,
国顺	nr:2,
国风	n:1,
国飚	nr:2,
国馨	nr:1,
国骂	l:1,
国魂	n:1,
国鲁	nr:1,
国鸣	nr:1,
国（边）境	n:1,
图	nr:1,v:99,n:1028,
图书	n:657,
图书业	n:3,
图书区	n:1,
图书城	n:3,
图书奖	n:26,
图书室	n:22,
图书展	n:5,
图书日	n:1,
图书界	n:1,
图书站	n:25,
图书节	n:6,
图书馆	n:350,
图书馆学	n:1,
图们	ns:5,
图件	n:1,
图伊莱帕·塞莱莱·马列莱高伊	nr:1,
图像	n:101,
图像型	n:1,
图儿	n:1,
图兰朵	nr:3,nz:2,n:4,
图典	n:4,
图册	n:4,
图制	n:2,
图南	nr:1,
图卡什	ns:2,
图卢兹	nr:1,ns:4,
图名	n:1,
图图	nr:5,
图季曼	nr:9,
图尔	ns:1,
图尔卡纳	ns:1,
图尔库	ns:2,
图尔库市	ns:1,
图尔比勒	ns:1,
图布新	nr:1,
图强	v:3,
图录	n:3,
图形	n:17,
图志	n:1,
图拉姆	nr:1,
图拉宗佐达	nr:1,
图拉宗左达	nr:1,
图拉比	nr:5,
图拉焦佐德	nr:2,
图文	n:13,
图文并茂	i:15,l:6,
图斯特拉—古铁雷斯	ns:3,
图景	n:11,
图木	nr:3,
图木尔廷敖包	ns:1,
图本	n:1,
图标	n:1,
图样	n:3,
图格里克	q:9,
图案	n:96,
图法赫	ns:2,
图灵机	n:2,
图片	n:3454,
图片展	n:27,
图片库	n:1,
图片社	n:1,
图片集	n:2,
图版	n:1,
图画	n:28,
图画书	n:1,
图示	v:2,
图稿	n:4,
图章	n:5,
图籍	n:1,
图索骥式	b:1,
图纸	n:30,
图罗克	nr:3,
图腾	n:3,
图腾式	b:1,
图腾物	n:1,
图表	n:38,
图西族	nz:1,
图解	v:5,vn:4,
图说	n:3,
图谋	v:7,vn:4,n:20,
图谱	n:7,
图象诗	n:1,
图道多吉	nr:2,
图阵	n:1,
图集	n:5,
图雷斯基	nr:2,ns:2,
图面	n:1,
图鲁兹	ns:1,nz:3,
囿	Vg:17,
囿于	v:13,
囿养	v:2,
囿养地	n:2,
圃	Ng:2,
圆	a:41,Vg:41,v:6,an:1,n:12,
圆凳	n:1,
圆周	n:2,
圆周率	n:1,
圆圆	a:2,
圆圆满满	z:2,
圆圆的	z:7,
圆圈	n:10,
圆娜	nr:7,
圆子	nr:1,
圆寂	v:3,
圆山	ns:8,nz:3,
圆弧	n:2,
圆形	n:13,
圆心	n:4,
圆整	a:1,
圆明园	ns:52,
圆明园者	n:1,
圆木	n:2,
圆柱	n:3,
圆柱形	n:1,
圆桌	n:7,
圆桌会议	l:15,n:1,
圆梦	v:3,
圆法	n:1,
圆浑	a:1,
圆润	a:7,
圆滑	a:1,
圆滚滚	z:1,
圆满	a:125,ad:145,d:1,an:1,
圆点	n:2,
圆熟	a:2,
圆状	n:1,
圆珠	j:3,
圆珠笔	n:8,
圆珠笔芯	n:5,
圆球	n:1,
圆盒	n:2,
圆盖	n:1,
圆盘	n:1,
圆窗	n:2,
圆筒	n:1,
圆舞曲	n:1,
圆融	a:2,
圆规	n:2,
圆角	n:1,
圆轨	n:1,
圆通	ns:1,
圆通山	ns:9,
圆锥	n:1,
圆锥形	n:2,
圆顶	n:2,
圆顺	a:1,
圆馆金	nr:1,
圈	q:76,v:33,Ng:1,n:37,
圈儿	q:1,
圈养	v:2,vn:3,
圈圈	n:7,
圈套	n:5,
圈子	n:17,
圈定	v:2,
圈将	v:1,
圈层	n:9,
圈形	n:1,
圈梁	n:1,
圈椅	n:1,
圈点	v:4,
圈速	n:1,
圈闭	vn:1,
圈阅	v:1,
圜丘	n:1,
土	a:17,j:61,n:182,
土专家	n:11,
土丘	n:1,
土井	nr:2,
土井多贺子	nr:5,
土产	vn:1,n:8,
土伦	ns:7,
土伦杯	nz:8,
土体	n:1,
土儿	nz:1,
土公路	n:1,
土制	n:1,
土包子	n:1,
土匪	n:5,
土卫六	j:1,nz:8,
土台	n:1,
土司	n:4,
土味	n:1,
土地	n:1470,
土地名	n:1,
土地奖	n:1,
土地局	n:8,
土地征用费	n:2,
土地改革	l:8,
土地日	n:17,
土地权	n:1,
土地权属	n:6,
土地法	n:2,
土地管理法	n:53,
土地证	n:2,
土地革命	nz:29,
土坎	n:1,
土坑	n:1,
土块	n:3,
土坟	n:1,
土坡	n:1,
土坪	n:1,
土坯	n:9,
土坯棚	n:1,
土坳村	ns:1,
土坷垃	n:2,
土城	n:2,
土城子	nz:1,
土城镇	ns:1,
土堆	n:2,
土堆儿	n:1,
土堡	n:1,
土堡子村	ns:1,
土堤仓	n:3,
土墙	n:6,
土壤	n:146,
土壤层	n:4,
土壶	n:1,
土家	nz:9,
土家人	nz:4,
土家女	n:1,
土家族	nz:72,
土容重	n:1,
土少石多	l:1,
土尔扈特	ns:1,
土尔扈特部	ns:1,n:1,
土层	n:9,
土屋	n:4,
土山	ns:1,
土山村	ns:1,
土岭乡	ns:2,
土崩瓦解	i:1,
土工	n:1,
土布	n:7,
土库曼斯坦	ns:29,
土建	n:8,
土建工程	n:13,
土房	n:6,
土才	nr:1,
土改	v:12,vn:12,
土政策	n:12,
土方	n:20,
土族	nz:7,
土星	n:14,
土暖气	n:1,
土木	n:11,
土木工程	l:2,
土机器	n:1,
土村	n:1,
土果	n:1,
土枪	n:1,
土气	a:4,an:1,
土池	n:3,
土沟村	ns:2,
土油灯	n:1,
土法	n:2,
土渠	n:1,
土灶	n:1,
土炕	n:3,
土炮	n:1,
土焦	j:1,
土特	j:1,
土特产	n:8,
土特产品	n:5,
土生土长	i:16,
土疙瘩	n:3,
土登	nr:2,
土登尼玛	nr:1,
土登才旺	nr:1,
土登扎西	nr:1,
土登洛章	nr:1,
土皇帝	n:1,
土石	n:2,
土石堤	n:1,
土石方	n:24,
土砖	n:1,
土砖房	n:1,
土种	n:2,
土窑洞	n:3,
土窟洞	n:1,
土管	j:5,
土管员	j:1,
土籍	n:1,
土纸	n:1,
土耳其	ns:220,
土耳其人	n:3,
土耳其共和国	ns:4,
土耳其族	nz:2,
土耳其队	nt:1,
土肥所	j:1,
土腥味	n:1,
土茯苓	n:1,
土著	nz:19,n:1,
土著人	n:19,
土葬	v:1,n:4,
土话	n:4,
土语	n:2,
土豆	n:32,
土豪	n:2,
土豪劣绅	l:1,
土货	n:1,
土质	n:17,
土路	n:11,
土道	n:1,
土里土气	z:1,
土里巴	nz:1,
土霉素	n:1,
土黄	b:1,
土黄色	n:5,
土默川	ns:2,
土默特右旗	ns:1,
土默特左旗	ns:1,
土默特左旗人	n:1,
土（耳其）	ns:1,
圣	Ag:2,Ng:2,j:9,
圣·三利	nz:1,
圣·弗朗西斯	nz:1,
圣·洛朗	nr:1,
圣·索菲亚	nr:1,
圣—桑	nr:1,
圣一	nr:1,
圣三一	nz:1,
圣三利	nz:4,
圣上	n:1,
圣乔治	nz:1,
圣人	n:19,
圣但尼	ns:1,
圣但尼市	ns:1,
圣佑	nr:6,
圣何塞	ns:16,
圣保罗	ns:12,nz:1,
圣保罗州	ns:9,
圣保罗市	ns:3,
圣保罗麦卡利斯特	ns:1,
圣元	nr:1,
圣克劳	nz:1,
圣克里斯托瓦尔	ns:1,
圣克鲁	ns:1,
圣克鲁斯	ns:1,
圣克鲁斯省	ns:3,
圣冈丹	ns:2,
圣凯罗	nz:1,
圣加仑	nz:2,
圣卡利克斯托	nz:1,
圣卢卡西亚	ns:1,
圣卢西亚	ns:4,
圣叹	nr:3,
圣周	ns:1,nz:1,n:2,
圣哲	n:1,
圣园	n:2,
圣土	n:1,
圣地	nz:2,n:29,
圣地亚哥	ns:37,
圣地亚哥市	ns:2,
圣地亚哥省	ns:1,
圣坛	n:1,
圣坤	nr:4,
圣埃蒂安	ns:7,
圣城	ns:2,n:3,
圣塔加塔	nz:1,
圣塞浮兰	nz:1,
圣多明各	ns:1,
圣多美和普林西比	ns:2,
圣天诺	nz:2,
圣太田	ns:2,
圣女	n:1,
圣婴	n:1,
圣子	n:1,
圣安东尼奥	ns:5,
圣安德列斯	ns:2,
圣宰	nr:5,
圣尼科拉斯	ns:1,
圣山	ns:11,
圣帕特里克节	t:1,
圣平	nr:1,
圣彼得	nr:1,
圣彼得堡	ns:13,
圣彼得堡市	ns:4,
圣德	nr:1,
圣心	nz:1,
圣意	n:1,
圣战	n:2,
圣战者	nz:1,n:7,
圣文森特和格林纳丁斯旗	ns:1,
圣日尔曼	nz:1,
圣旨	n:5,
圣明	nr:5,
圣歌	n:1,
圣殿	n:9,
圣母	n:7,
圣母院	ns:1,n:8,
圣水	n:6,
圣水湖	ns:1,
圣河	n:2,
圣洁	a:20,nr:1,an:1,
圣洁感	n:1,
圣湖	n:1,
圣火	n:10,
圣物	n:1,
圣特莱萨	ns:1,
圣特莱萨镇	ns:1,
圣玛丽	nz:1,
圣玛丽亚	ns:3,
圣皮埃尔岛	ns:1,
圣砾砚斋	n:1,
圣科莫镇	ns:1,
圣米格尔·奇比克	ns:1,
圣约翰	nr:1,nz:4,
圣练	nr:1,
圣经	n:8,
圣维森	ns:1,
圣罗以	nz:1,
圣职	n:1,
圣胡安岛	ns:1,
圣艾蒂安市	ns:1,
圣菲波哥大	ns:13,
圣菲波哥大市	ns:1,
圣诞	t:34,
圣诞卡	n:1,
圣诞树	n:8,
圣诞票	n:2,
圣诞老人	n:6,
圣诞节	t:27,
圣谕	an:1,n:1,
圣贤	nr:1,n:5,
圣路易斯	ns:1,
圣路易斯市	ns:5,
圣辉	nr:3,
圣达菲	nz:3,
圣迭戈	ns:3,
圣里斯特	ns:1,
圣陶	nr:9,
圣雄·甘地	nr:1,
圣雄甘地	nr:2,
圣雅洛莫	nz:1,
圣雪绒	nz:3,
圣雪绒队	nt:2,
圣雷莫	nz:1,
圣餐	n:1,
圣马力诺	ns:22,
圣马力诺共和国	ns:1,
圣马可	ns:2,
圣马田	nz:2,
在	p:71097,r:1,d:1745,t:1,v:1592,f:2,n:2,
在世	v:9,vn:2,
在乎	v:4,
在于	p:1,v:767,
在任	v:4,vn:11,
在位	v:4,
在先	d:11,
在兴	nr:2,
在内	u:341,v:2,f:3,
在册	v:3,vn:5,
在军	nr:13,
在劫难逃	i:2,
在华	nr:1,
在即	v:37,
在友	nr:1,
在后	v:2,
在哲	nr:1,
在商明政	l:1,
在商言商	l:2,
在圭	nr:1,
在场	a:1,v:89,vn:14,
在场者	n:3,
在外	vn:1,
在天之灵	i:7,
在天有灵	l:2,
在学	vn:1,
在家	v:80,vd:1,
在家千日好	l:1,
在宽	nr:1,
在岗	b:10,v:6,vn:8,
在岗者	n:1,
在岸	vn:1,
